N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;3;4.14885e-08;42.7199
30;6889;1228;3;1.10685e-06;68.3767
20;60025;197;2;2.95512e-08;47.4355
64;1156;570;2;1.48083e-08;7.32144
26;2304;690;2;1.02729e-06;6.63393
22;8464;71;1;7.49356e-07;1.94098
10;1600;1001;2;3.22466e-06;2.31765
28;2116;71;1;2.33967e-07;0.685229
10;1156;1000;2;4.20132e-07;1.63723
12;27889;27;1;3.00738e-07;1.18484
10;1681;572;3;1.55553e-08;2.16474
6;25600;1010;2;3.59072e-08;28.7618
12;1936;1010;3;2.11415e-08;5.4901
30;576;10010;8;3.21445e-08;183.57
20;1225;1450;4;1.10873e-08;12.4505
22;484;2010;4;1.56326e-08;7.88926
20;484;2010;4;6.34037e-08;6.8454
11;784;5010;3;1.86686e-08;10.5715
11;625;572;2;1.15707e-06;0.601929
15;529;572;2;8.79025e-08;0.817619
12;1600;400;2;6.21178e-08;1.29221
6;19600;100;1;7.80322e-07;1.21459
4;5184;110;1;5.29581e-08;0.244431
60;10201;999;2;1.01214e-06;120.31
