N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;2;4.11615e-07;27.4431
30;6889;1228;2;3.66398e-06;36.8886
20;60025;197;1;1.88681e-07;16.403
64;1156;570;2;2.22197e-07;8.05741
26;2304;690;2;4.98896e-08;5.25187
22;8464;71;1;9.37539e-07;1.42168
10;1600;1001;2;1.10265e-06;1.53278
28;2116;71;1;3.21278e-07;0.549521
10;1156;1000;2;8.51387e-08;1.10025
12;27889;27;1;2.30187e-07;1.46197
10;1681;572;2;2.57685e-08;0.854653
6;25600;1010;2;4.02429e-08;17.006
12;1936;1010;2;1.17805e-06;2.54248
30;576;10010;6;2.01049e-07;179.359
20;1225;1450;3;8.10558e-08;6.87724
22;484;2010;3;5.1202e-08;4.53362
20;484;2010;3;2.09954e-08;3.9875
11;784;5010;3;7.58158e-10;9.46793
11;625;572;2;7.35983e-08;0.354042
15;529;572;2;2.92758e-08;0.47529
12;1600;400;1;2.3959e-06;0.387979
6;19600;100;1;3.74572e-07;0.660344
4;5184;110;1;1.02183e-07;0.130668
60;10201;999;2;1.19234e-06;117.69
