N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;3;0;127.719
30;6889;1228;3;0;149.416
20;60025;197;3;0;155.314
64;1156;570;3;0;37.198
26;2304;690;3;0;21.9317
22;8464;71;3;0;16.6073
10;1600;1001;3;0;5.6398
28;2116;71;3;0;6.03849
10;1156;1000;3;0;4.03305
12;27889;27;3;0;17.5732
10;1681;572;3;0;3.5252
6;25600;1010;3;0;48.0483
12;1936;1010;3;0;9.20006
30;576;10010;3;0;117.802
20;1225;1450;3;0;16.7323
22;484;2010;3;0;10.7505
20;484;2010;3;0;9.3389
11;784;5010;3;0;18.0769
11;625;572;3;0;1.50611
15;529;572;3;0;2.12426
12;1600;400;3;0;3.38889
6;19600;100;3;0;6.4147
4;5184;110;3;0;1.15929
60;10201;999;3;0;492.778
