N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;3;6.5984e-06;29.0689
30;6889;1228;3;2.95055e-06;39.8917
20;60025;197;2;2.32018e-08;17.3616
64;1156;570;2;7.15553e-08;5.28819
26;2304;690;2;2.43023e-06;3.15352
22;8464;71;1;6.5908e-07;0.576402
10;1600;1001;3;1.82727e-11;1.57534
28;2116;71;1;2.76445e-07;0.222386
10;1156;1000;2;7.76371e-07;0.769608
12;27889;27;1;2.9795e-07;0.35043
10;1681;572;2;7.14704e-06;0.59358
6;25600;1010;2;3.74446e-08;12.9516
12;1936;1010;3;2.01701e-08;2.43891
30;576;10010;8;2.82087e-08;192.891
20;1225;1450;4;2.03202e-07;6.17443
22;484;2010;4;3.39188e-08;4.33514
20;484;2010;4;1.38924e-07;3.75609
11;784;5010;3;1.85312e-08;6.88353
11;625;572;2;6.41795e-07;0.25379
15;529;572;2;1.68993e-07;0.323197
12;1600;400;2;3.8212e-08;0.493404
6;19600;100;1;1.6631e-07;0.349818
4;5184;110;1;5.37225e-08;0.080367
60;10201;999;2;5.78644e-06;84.3997
