N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;3;9.7193e-10;177.249
30;6889;1228;3;4.10792e-08;188.969
20;60025;197;2;8.99876e-11;90.6305
64;1156;570;2;1.87472e-09;28.2713
26;2304;690;2;6.37164e-08;19.2597
22;8464;71;1;1.38503e-08;1.83171
10;1600;1001;2;3.75529e-07;3.88688
28;2116;71;1;8.73157e-09;0.671183
10;1156;1000;2;1.04939e-08;2.79821
12;27889;27;1;3.02535e-09;1.05305
10;1681;572;2;2.5741e-07;2.38629
6;25600;1010;2;1.01485e-09;36.6617
12;1936;1010;3;9.85397e-13;9.5343
30;576;10010;8;2.99951e-09;484.33
20;1225;1450;3;9.44329e-07;19.2261
22;484;2010;4;1.14503e-09;16.3584
20;484;2010;4;5.93336e-09;13.8119
11;784;5010;3;7.64877e-12;16.1845
11;625;572;2;1.13361e-07;1.02854
15;529;572;2;6.16559e-09;1.50618
12;1600;400;2;3.30356e-09;2.08232
6;19600;100;1;6.00122e-10;0.919947
4;5184;110;1;1.35087e-09;0.174222
60;10201;999;2;4.88046e-08;541.832
