N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;3;3.60919e-08;87.26
30;6889;1228;3;5.3956e-07;96.7576
20;60025;197;2;1.25028e-08;60.439
64;1156;570;2;1.13983e-07;16.311
26;2304;690;2;1.41952e-06;11.0416
22;8464;71;1;6.1828e-07;0.72545
10;1600;1001;2;7.65905e-06;2.3528
28;2116;71;1;6.52475e-07;0.264386
10;1156;1000;2;3.11758e-07;1.72467
12;27889;27;1;2.96801e-07;0.49296
10;1681;572;2;4.23586e-06;1.6294
6;25600;1010;2;3.2018e-08;20.9045
12;1936;1010;3;1.22004e-11;5.68933
30;576;10010;8;1.44209e-08;522.182
22;484;2010;4;1.60368e-08;8.96546
20;484;2010;4;5.11426e-08;7.68029
11;784;5010;3;4.2075e-10;11.8294
11;625;572;2;6.1756e-07;0.709137
15;529;572;2;1.98712e-07;0.943606
12;1600;400;2;3.19011e-08;1.39951
6;19600;100;1;5.21959e-08;0.414171
4;5184;110;1;5.67127e-08;0.095763
60;10201;999;2;3.16475e-06;274.213
