N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;3;1.69624e-08;78.3633
30;6889;1228;3;8.69117e-07;98.2245
20;60025;197;2;1.71233e-08;54.9209
64;1156;570;2;1.52182e-06;15.2864
26;2304;690;2;1.62436e-06;9.16799
22;8464;71;1;3.45164e-06;1.81758
10;1600;1001;2;7.07523e-06;2.64214
28;2116;71;1;3.03207e-07;0.649091
10;1156;1000;2;1.89808e-07;1.94853
12;27889;27;1;2.91478e-07;1.12017
10;1681;572;2;6.9936e-06;1.59529
6;25600;1010;2;4.14596e-08;29.0239
12;1936;1010;3;1.70658e-08;6.29856
30;576;10010;8;3.28759e-08;230.724
20;1225;1450;4;1.86154e-08;15.0851
22;484;2010;4;2.53971e-08;9.73085
20;484;2010;4;1.07586e-07;8.40328
11;784;5010;3;1.52315e-08;12.7405
11;625;572;2;8.1368e-07;0.641621
15;529;572;2;6.30927e-08;0.889413
12;1600;400;2;4.86752e-08;1.31978
6;19600;100;1;3.23597e-07;0.82482
4;5184;110;1;5.33825e-08;0.161057
60;10201;999;2;7.09449e-06;226.382
