N;Nc;Ns;iters;RMS_err;qr_time;time_consumed
50;3136;1001;4;0;72.1811;74.3194
30;6889;1228;4;0;86.2343;89.2167
20;60025;197;4;0;65.9819;72.5478
64;1156;570;4;0;21.4376;21.9227
26;2304;690;4;0;12.2217;12.7397
22;8464;71;4;0;4.52562;5.23789
10;1600;1001;4;0;3.19606;3.42817
28;2116;71;4;0;1.70281;1.83091
10;1156;1000;4;0;2.30086;2.45409
12;27889;27;4;0;2.4501;2.99513
10;1681;572;4;0;1.89483;2.02492
6;25600;1010;4;0;27.4356;31.5861
12;1936;1010;4;0;5.22035;5.54391
30;576;10010;4;0;79.2703;81.3008
20;1225;1450;4;0;9.93721;10.3735
22;484;2010;4;0;6.47197;6.7203
20;484;2010;4;0;5.55343;5.78392
11;784;5010;4;0;10.7076;11.2873
11;625;572;4;0;0.811925;0.852258
15;529;572;4;0;1.19524;1.24296
12;1600;400;4;0;1.63939;1.75671
6;19600;100;4;0;1.71787;2.0021
4;5184;110;4;0;0.297496;0.352876
60;10201;999;4;0;307.745;317.121
