N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;4;0;28.666;30.9293
30;6889;1228;4;0;37.9156;41.417
20;60025;197;4;0;21.1635;29.5263
64;1156;570;4;0;7.5445;8.06194
26;2304;690;4;0;4.23737;4.79528
22;8464;71;4;0;1.29934;2.07155
10;1600;1001;4;0;1.01876;1.26426
28;2116;71;4;0;0.525667;0.664631
10;1156;1000;4;0;0.715547;0.877995
12;27889;27;4;0;0.67464;1.27007
10;1681;572;4;0;0.56027;0.700012
6;25600;1010;4;0;10.8651;15.624
12;1936;1010;4;0;1.69131;2.03459
30;576;10010;4;0;73.4681;75.6082
20;1225;1450;4;0;4.10525;4.56845
22;484;2010;4;0;3.01295;3.27481
20;484;2010;4;0;2.62348;2.86217
11;784;5010;4;0;6.80551;7.41743
11;625;572;4;0;0.243801;0.289821
15;529;572;4;0;0.348462;0.397151
12;1600;400;4;0;0.480357;0.612135
6;19600;100;4;0;0.493633;0.790251
4;5184;110;4;0;0.0904847;0.149922
60;10201;999;4;0;125.172;135.409
