N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;3;2.19665e-08;33.9782
30;6889;1228;3;8.59924e-07;44.4587
20;60025;197;2;3.69352e-08;21.8503
64;1156;570;2;4.55863e-06;5.77201
26;2304;690;2;2.35772e-06;3.98532
22;8464;71;1;1.98728e-06;0.725213
10;1600;1001;2;6.28931e-06;1.1527
28;2116;71;1;3.25927e-07;0.246947
10;1156;1000;2;4.16136e-07;0.797646
12;27889;27;1;2.84095e-07;0.455263
10;1681;572;2;4.91515e-06;0.6398
6;25600;1010;2;4.55832e-08;16.015
12;1936;1010;3;1.82481e-08;2.72074
30;576;10010;8;3.37739e-08;204.84
20;1225;1450;4;4.76135e-08;7.86795
22;484;2010;4;2.32381e-08;5.0501
20;484;2010;4;2.39122e-07;4.76558
11;784;5010;3;2.16898e-08;8.55097
11;625;572;2;5.74684e-07;0.261817
15;529;572;2;6.10829e-08;0.332768
12;1600;400;2;3.97128e-08;0.529909
6;19600;100;1;8.8554e-08;0.395695
4;5184;110;1;5.34084e-08;0.083746
60;10201;999;2;3.21603e-06;94.6112
