N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;0;7.23354e-07;39.286
30;6889;1228;0;2.09116e-06;63.2886
20;60025;197;0;2.09276e-08;46.1853
64;1156;570;0;3.5855e-07;7.41596
26;2304;690;0;1.80045e-06;6.40705
22;8464;71;0;6.40577e-07;1.9518
10;1600;1001;0;1.86697e-11;3.36303
28;2116;71;0;2.686e-07;0.699038
10;1156;1000;0;8.03208e-07;1.59373
12;27889;27;0;2.99962e-07;1.2583
10;1681;572;0;8.2576e-09;2.09969
6;25600;1010;0;3.75966e-08;24.8343
12;1936;1010;0;1.97177e-08;5.27708
30;576;10010;0;2.93647e-08;179.347
20;1225;1450;0;3.88273e-08;12.0716
22;484;2010;0;1.87298e-08;7.58833
20;484;2010;0;4.95162e-08;6.57527
11;784;5010;0;1.86628e-08;10.3053
11;625;572;0;7.28079e-07;0.60574
15;529;572;0;1.55855e-07;0.92222
12;1600;400;0;1.09248e-07;1.2653
6;19600;100;0;1.17576e-07;1.18101
4;5184;110;0;5.33584e-08;0.233905
60;10201;999;0;3.64659e-06;106.689
