N;Nc;Ns;iters;RMS_err;time_consumed
50;3136;1001;4;2.0807e-06;173.623
30;6889;1228;3;6.9518e-06;212.4907
20;60025;197;1;4.2072e-06;82.4602
64;1156;570;2;1.4472e-06;23.7334
26;2304;690;2;6.7176e-06;22.4188
22;8464;71;1;5.4545e-09;7.1642
10;1600;1001;3;3.2629e-11;13.5431
28;2116;71;1;7.437e-09;2.0359
10;1156;1000;2;9.6971e-09;6.5777
12;27889;27;1;2.9439e-11;8.0892
10;1681;572;2;6.9439e-09;6.1346
6;25600;1010;2;1.4157e-11;113.0047
12;1936;1010;3;7.7194e-11;20.1087
30;576;10010;9;1.7953e-08;463.4696
20;1225;1450;4;3.3785e-07;39.7978
22;484;2010;5;3.0238e-06;29.2219
20;484;2010;4;4.8353e-06;21.406
11;784;5010;3;4.345e-12;33.6194
11;625;572;2;8.236e-09;2.2731
15;529;572;2;2.734e-07;2.6111
12;1600;400;2;3.3346e-08;4.9894
6;19600;100;1;7.9362e-09;7.4811
4;5184;110;1;1.6386e-09;1.4805
60;10201;999;2;9.906e-07;352.3299
